Timestamp,Message
07:05:40,"[07:05:40] AUTO SEND: start"
07:05:43,"[07:05:43] AUTO SEND: Power:1"
07:05:43,"[07:05:43] AUTO SEND: Power:2"
07:05:44,"[07:05:44] AUTO SEND: Power:3"
07:05:44,"[07:05:44] AUTO SEND: Power:4"
07:05:44,"[07:05:44] AUTO SEND: Power:5"
07:05:45,"[07:05:45] AUTO SEND: Power:6"
07:05:45,"[07:05:45] AUTO SEND: Power:7"
07:05:45,"[07:05:45] AUTO SEND: Power:8"
07:05:45,"[07:05:45] AUTO SEND: Power:9"
07:05:46,"[07:05:46] AUTO SEND: Power:8"
07:05:46,"[07:05:46] AUTO SEND: Power:7"
07:05:46,"[07:05:46] AUTO SEND: Power:6"
07:05:46,"[07:05:46] AUTO SEND: Power:5"
07:05:46,"[07:05:46] AUTO SEND: Power:4"
07:05:46,"[07:05:46] AUTO SEND: Power:3"
07:05:46,"[07:05:46] AUTO SEND: Power:2"
07:05:46,"[07:05:46] AUTO SEND: Power:1"
07:05:46,"[07:05:46] AUTO SEND: Power:0"
07:05:47,"[07:05:47] AUTO SEND: Power:1"
07:05:47,"[07:05:47] AUTO SEND: Power:2"
07:05:47,"[07:05:47] AUTO SEND: Power:3"
07:05:47,"[07:05:47] AUTO SEND: Power:4"
07:05:47,"[07:05:47] AUTO SEND: Power:5"
07:05:47,"[07:05:47] AUTO SEND: Power:6"
07:05:48,"[07:05:48] AUTO SEND: Power:7"
07:05:48,"[07:05:48] AUTO SEND: Power:8"
07:05:48,"[07:05:48] AUTO SEND: Power:9"
07:05:48,"[07:05:48] AUTO SEND: Power:10"
07:05:49,"[07:05:49] AUTO SEND: Power:11"
07:05:50,"[07:05:50] AUTO SEND: Power:12"
07:05:50,"[07:05:50] AUTO SEND: Power:13"
07:05:51,"[07:05:51] AUTO SEND: Power:14"
07:05:51,"[07:05:51] AUTO SEND: Power:15"
07:05:51,"[07:05:51] AUTO SEND: Power:16"
07:05:52,"[07:05:52] AUTO SEND: Power:17"
07:05:52,"[07:05:52] AUTO SEND: Power:18"
07:05:52,"[07:05:52] AUTO SEND: Power:19"
07:05:52,"[07:05:52] AUTO SEND: Power:20"
07:05:53,"[07:05:53] AUTO SEND: Power:21"
07:05:54,"[07:05:54] AUTO SEND: Power:22"
07:06:20,"[07:06:20] AUTO SEND: Power:23"
07:06:20,"[07:06:20] AUTO SEND: Power:24"
07:06:20,"[07:06:20] AUTO SEND: Power:25"
07:06:21,"[07:06:21] AUTO SEND: Power:26"
07:06:48,"[07:06:48] AUTO SEND: Power:27"
07:06:49,"[07:06:49] AUTO SEND: Power:28"
07:06:50,"[07:06:50] AUTO SEND: Power:27"
07:06:50,"[07:06:50] AUTO SEND: Power:26"
07:06:51,"[07:06:51] AUTO SEND: Power:25"
07:06:51,"[07:06:51] AUTO SEND: Power:24"
07:06:51,"[07:06:51] AUTO SEND: Power:23"
07:06:51,"[07:06:51] AUTO SEND: Power:22"
07:06:51,"[07:06:51] AUTO SEND: Power:21"
07:06:52,"[07:06:52] AUTO SEND: Power:20"
07:06:53,"[07:06:53] AUTO SEND: Power:19"
07:06:53,"[07:06:53] AUTO SEND: Power:18"
07:06:53,"[07:06:53] AUTO SEND: Power:17"
07:06:53,"[07:06:53] AUTO SEND: Power:16"
07:06:53,"[07:06:53] AUTO SEND: Power:15"
07:06:53,"[07:06:53] AUTO SEND: Power:14"
07:06:54,"[07:06:54] AUTO SEND: Power:13"
07:06:54,"[07:06:54] AUTO SEND: Power:12"
07:06:54,"[07:06:54] AUTO SEND: Power:11"
07:06:54,"[07:06:54] AUTO SEND: Power:10"
07:06:54,"[07:06:54] AUTO SEND: Power:9"
07:06:54,"[07:06:54] AUTO SEND: Power:8"
07:06:54,"[07:06:54] AUTO SEND: Power:7"
07:06:55,"[07:06:55] AUTO SEND: Power:6"
07:06:55,"[07:06:55] AUTO SEND: Power:5"
07:06:55,"[07:06:55] AUTO SEND: Power:4"
07:06:55,"[07:06:55] AUTO SEND: Power:3"
07:06:55,"[07:06:55] AUTO SEND: Power:2"
07:06:55,"[07:06:55] AUTO SEND: Power:1"
07:06:56,"[07:06:56] AUTO SEND: Power:0"
07:16:35,"[07:16:35] AUTO SEND: start"
07:16:42,"[07:16:42] AUTO SEND: Power:1"
07:16:42,"[07:16:42] AUTO SEND: Power:2"
07:16:42,"[07:16:42] AUTO SEND: Power:3"
07:16:43,"[07:16:43] AUTO SEND: Power:4"
07:16:43,"[07:16:43] AUTO SEND: Power:5"
07:16:43,"[07:16:43] AUTO SEND: Power:6"
07:16:43,"[07:16:43] AUTO SEND: Power:7"
07:16:44,"[07:16:44] AUTO SEND: Power:6"
07:16:44,"[07:16:44] AUTO SEND: Power:5"
07:16:44,"[07:16:44] AUTO SEND: Power:4"
07:16:44,"[07:16:44] AUTO SEND: Power:3"
07:16:44,"[07:16:44] AUTO SEND: Power:2"
07:16:44,"[07:16:44] AUTO SEND: Power:1"
07:16:44,"[07:16:44] AUTO SEND: Power:0"
07:16:46,"[07:16:46] AUTO SEND: Power:1"
07:16:46,"[07:16:46] AUTO SEND: Power:2"
07:16:46,"[07:16:46] AUTO SEND: Power:3"
07:16:46,"[07:16:46] AUTO SEND: Power:4"
07:16:46,"[07:16:46] AUTO SEND: Power:5"
07:16:47,"[07:16:47] AUTO SEND: Power:6"
07:16:47,"[07:16:47] AUTO SEND: Power:7"
07:16:47,"[07:16:47] AUTO SEND: Power:8"
07:16:47,"[07:16:47] AUTO SEND: Power:9"
07:16:47,"[07:16:47] AUTO SEND: Power:10"
07:16:48,"[07:16:48] AUTO SEND: Power:11"
07:16:48,"[07:16:48] AUTO SEND: Power:12"
07:16:49,"[07:16:49] AUTO SEND: Power:13"
07:16:50,"[07:16:50] AUTO SEND: Power:14"
07:16:51,"[07:16:51] AUTO SEND: Power:15"
07:16:51,"[07:16:51] AUTO SEND: Power:16"
07:16:51,"[07:16:51] AUTO SEND: Power:17"
07:16:52,"[07:16:52] AUTO SEND: Power:18"
07:16:52,"[07:16:52] AUTO SEND: Power:19"
07:16:52,"[07:16:52] AUTO SEND: Power:20"
07:16:52,"[07:16:52] AUTO SEND: Power:21"
07:16:54,"[07:16:54] AUTO SEND: Power:20"
07:16:54,"[07:16:54] AUTO SEND: Power:19"
07:16:54,"[07:16:54] AUTO SEND: Power:18"
07:16:54,"[07:16:54] AUTO SEND: Power:17"
07:16:54,"[07:16:54] AUTO SEND: Power:16"
07:16:54,"[07:16:54] AUTO SEND: Power:15"
07:16:54,"[07:16:54] AUTO SEND: Power:14"
