Timestamp,Thrust,PWM
0.099,22.65,45
0.187,22.75,45
0.287,22.65,45
0.384,22.65,45
0.483,22.6,45
0.583,22.55,45
0.682,22.7,45
0.781,22.7,45
0.88,22.7,45
0.979,22.7,45
1.078,22.7,45
1.177,22.75,45
1.276,22.75,45
1.377,22.65,45
1.475,22.65,45
1.575,22.7,45
1.673,22.65,45
1.774,22.65,45
1.873,22.7,45
1.971,22.65,45
2.07,22.7,45
2.169,22.65,45
2.27,22.6,45
2.369,22.75,45
2.469,22.65,45
2.567,22.6,45
2.666,22.75,45
2.766,22.7,45
2.864,22.5,45
2.964,22.6,45
3.063,22.65,45
3.161,22.7,45
3.261,22.7,45
3.36,22.65,45
3.458,22.7,45
3.56,22.8,45
3.659,22.75,45
3.758,22.65,45
3.857,22.6,45
3.955,22.65,45
4.054,22.6,45
4.156,22.7,45
4.254,22.8,45
4.352,22.6,45
4.452,22.6,45
4.551,22.65,45
4.65,22.65,45
4.749,22.7,45
4.848,22.75,45
4.948,22.7,45
5.048,22.7,45
5.147,22.65,45
5.246,22.65,45
5.345,22.55,45
5.444,22.65,45
5.543,22.55,45
5.643,22.55,45
5.741,22.75,45
5.841,22.75,45
5.94,22.65,45
6.04,22.6,45
6.139,22.55,45
6.238,22.6,45
6.337,22.65,45
6.436,22.7,45
6.536,22.7,45
6.635,22.7,45
6.734,22.65,30
6.833,22.8,30
6.932,22.75,30
7.032,22.75,30
7.131,22.8,30
7.23,22.8,30
7.329,22.8,30
7.429,22.75,30
7.528,22.75,30
7.627,22.75,30
7.726,22.8,30
7.825,22.85,30
7.926,22.8,30
8.024,22.7,30
8.125,22.8,30
8.222,22.75,30
8.321,22.65,30
8.421,22.7,30
8.521,22.7,30
8.618,22.75,30
8.718,22.75,30
8.818,22.7,30
8.917,22.7,30
9.016,22.75,30
9.115,22.65,30
9.214,22.6,30
9.314,22.7,30
9.413,22.8,30
9.512,22.85,30
9.612,22.75,30
9.711,22.8,30
9.81,22.65,30
9.909,22.75,30
10.008,22.7,30
10.108,22.75,30
10.206,22.75,30
10.306,22.75,30
10.405,22.65,30
10.504,22.65,30
10.603,22.75,30
10.702,22.85,30
10.802,22.8,30
10.901,22.75,30
11.001,22.75,30
11.099,22.75,30
11.199,22.8,30
11.299,22.8,30
11.396,22.85,30
11.496,22.8,30
11.596,22.65,30
11.695,22.7,45
11.794,22.8,3
11.892,22.65,6
11.992,22.7,8
12.092,22.65,11
12.192,22.75,13
12.29,22.65,11
12.39,22.6,8
12.489,22.6,5
12.586,22.7,3
12.686,22.75,0
12.786,22.55,3
12.887,22.75,4
12.985,22.75,9
13.083,22.6,11
13.184,22.15,13
13.282,22.5,9
13.382,21.95,6
13.481,22.75,4
13.579,24.25,0
13.68,24.95,0
13.779,24.75,0
13.878,24.7,0
13.977,24.9,0
14.076,25,0
14.176,25.15,0
14.275,25.2,0
14.374,25.15,0
14.473,25,0
14.572,24.95,0
14.672,24.75,0
14.771,24.8,1
14.869,24.75,2
14.97,24.6,4
15.068,24.6,5
15.167,24.55,5
15.267,24.55,6
15.366,24.5,7
15.465,24.25,7
15.564,24.05,7
15.662,24.9,8
15.763,26.3,8
15.863,28,9
15.965,29.15,9
16.061,31.4,10
16.16,32.85,10
16.259,29.9,11
16.358,26.55,11
16.457,26.45,11
16.557,26.4,12
16.656,26.75,12
16.755,26.65,12
16.854,26.55,12
16.953,26.45,13
17.053,26.6,13
17.152,26.25,13
17.251,25.95,14
17.35,26.7,14
17.45,27.65,15
17.55,28.55,15
17.648,28.6,15
17.747,28.2,16
17.847,28.1,16
17.946,28.25,17
18.045,28.05,17
18.144,28.3,17
18.244,30,18
18.343,29.8,18
18.442,29.55,19
18.541,30.25,19
18.641,30.25,20
18.739,29.65,22
18.837,30.1,23
18.939,30.95,24
19.037,31.7,25
19.136,32.2,26
19.236,33.2,27
19.334,33.65,28
19.435,34.1,28
19.534,35.6,29
19.633,37.65,29
19.731,38.35,29
19.831,37.6,30
19.93,37.5,30
20.03,37.95,30
20.14,39.55,30
20.228,41.9,30
20.327,42.55,30
20.427,42.9,30
20.525,43.3,30
20.625,43.55,29
20.722,44.25,29
20.823,43.5,29
20.923,42.5,28
21.02,41.05,28
21.12,40.4,27
21.22,40.55,26
21.318,40.15,24
21.418,38.45,22
21.518,36.95,21
21.616,35.45,21
21.716,34.45,21
21.815,34.25,21
21.913,34.15,21
22.014,34,21
22.113,34.1,21
22.212,34.15,21
22.312,34.15,21
22.411,33.65,21
22.51,33.6,21
22.608,33.35,21
22.707,33,21
22.808,32.65,21
22.907,32.85,21
23.006,33.2,21
23.105,33.3,21
23.204,33.65,21
23.304,33.85,21
23.403,33.75,21
23.502,33,21
23.601,32.55,21
23.7,32.8,21
23.801,33,21
23.899,32.8,21
23.998,32.65,21
24.097,33.2,21
24.197,33.4,21
24.296,33.3,21
24.395,33.7,21
24.494,33.45,21
24.593,33.2,21
24.693,33.4,21
24.792,33.4,21
24.891,33.55,21
24.989,33.4,21
25.089,32.8,21
25.189,32.75,21
25.288,33.05,21
25.387,32.85,21
25.486,33.05,21
25.586,33.25,21
25.686,33.05,21
25.784,33.5,21
25.883,33.25,21
25.982,33,21
26.081,32.8,21
26.181,32.8,21
26.28,32.9,21
26.379,32.75,21
26.478,32.75,21
26.578,33,21
26.677,33.4,21
26.776,33.6,21
26.876,33.6,21
26.974,33.9,21
27.075,33.75,21
27.173,33.65,21
27.272,34.05,21
27.372,33.9,21
27.472,34.1,21
27.571,34.1,21
27.669,33.8,21
27.769,33.9,21
27.867,34,21
27.967,34.2,21
28.066,34.1,21
28.165,33.85,21
28.266,33.8,21
28.365,33.5,21
28.464,33.5,21
