Timestamp,Message
14:25:16,"[14:25:16] AUTO SEND: start"
14:25:17,"[14:25:17] AUTO SEND: Power:1"
14:25:17,"[14:25:17] AUTO SEND: Power:2"
14:25:17,"[14:25:17] AUTO SEND: Power:3"
14:25:18,"[14:25:18] AUTO SEND: Power:4"
14:25:18,"[14:25:18] AUTO SEND: Power:5"
14:25:18,"[14:25:18] AUTO SEND: Power:6"
14:25:18,"[14:25:18] AUTO SEND: Power:7"
14:25:18,"[14:25:18] AUTO SEND: Power:8"
14:25:18,"[14:25:18] AUTO SEND: Power:9"
14:25:18,"[14:25:18] AUTO SEND: Power:10"
14:25:18,"[14:25:18] AUTO SEND: Power:11"
14:25:18,"[14:25:18] AUTO SEND: Power:12"
14:25:18,"[14:25:18] AUTO SEND: Power:13"
14:25:18,"[14:25:18] AUTO SEND: Power:14"
14:25:18,"[14:25:18] AUTO SEND: Power:15"
14:25:18,"[14:25:18] AUTO SEND: Power:16"
14:25:18,"[14:25:18] AUTO SEND: Power:17"
14:25:18,"[14:25:18] AUTO SEND: Power:18"
14:25:18,"[14:25:18] AUTO SEND: Power:19"
14:25:18,"[14:25:18] AUTO SEND: Power:18"
14:25:18,"[14:25:18] AUTO SEND: Power:17"
14:25:18,"[14:25:18] AUTO SEND: Power:16"
14:25:18,"[14:25:18] AUTO SEND: Power:15"
14:25:18,"[14:25:18] AUTO SEND: Power:14"
14:25:18,"[14:25:18] AUTO SEND: Power:12"
14:25:18,"[14:25:18] AUTO SEND: Power:11"
14:25:18,"[14:25:18] AUTO SEND: Power:9"
14:25:18,"[14:25:18] AUTO SEND: Power:8"
14:25:18,"[14:25:18] AUTO SEND: Power:7"
14:25:18,"[14:25:18] AUTO SEND: Power:6"
14:25:18,"[14:25:18] AUTO SEND: Power:5"
14:25:18,"[14:25:18] AUTO SEND: Power:4"
14:25:18,"[14:25:18] AUTO SEND: Power:3"
14:25:18,"[14:25:18] AUTO SEND: Power:2"
14:25:18,"[14:25:18] AUTO SEND: Power:1"
14:25:18,"[14:25:18] AUTO SEND: Power:0"
14:25:19,"[14:25:19] AUTO SEND: Power:1"
14:25:19,"[14:25:19] AUTO SEND: Power:2"
14:25:19,"[14:25:19] AUTO SEND: Power:3"
14:25:19,"[14:25:19] AUTO SEND: Power:4"
14:25:19,"[14:25:19] AUTO SEND: Power:5"
14:25:19,"[14:25:19] AUTO SEND: Power:6"
14:25:19,"[14:25:19] AUTO SEND: Power:7"
14:25:19,"[14:25:19] AUTO SEND: Power:8"
14:25:19,"[14:25:19] AUTO SEND: Power:9"
14:25:19,"[14:25:19] AUTO SEND: Power:10"
14:25:19,"[14:25:19] AUTO SEND: Power:11"
14:25:19,"[14:25:19] AUTO SEND: Power:12"
14:25:19,"[14:25:19] AUTO SEND: Power:13"
14:25:19,"[14:25:19] AUTO SEND: Power:14"
14:25:19,"[14:25:19] AUTO SEND: Power:15"
14:25:19,"[14:25:19] AUTO SEND: Power:16"
14:25:19,"[14:25:19] AUTO SEND: Power:17"
14:25:19,"[14:25:19] AUTO SEND: Power:18"
14:25:19,"[14:25:19] AUTO SEND: Power:19"
14:25:19,"[14:25:19] AUTO SEND: Power:20"
14:25:19,"[14:25:19] AUTO SEND: Power:21"
14:25:19,"[14:25:19] AUTO SEND: Power:22"
14:25:19,"[14:25:19] AUTO SEND: Power:23"
14:25:19,"[14:25:19] AUTO SEND: Power:24"
14:25:19,"[14:25:19] AUTO SEND: Power:25"
14:25:19,"[14:25:19] AUTO SEND: Power:26"
14:25:20,"[14:25:20] AUTO SEND: Power:27"
14:25:20,"[14:25:20] AUTO SEND: Power:26"
14:25:20,"[14:25:20] AUTO SEND: Power:25"
14:25:20,"[14:25:20] AUTO SEND: Power:23"
14:25:20,"[14:25:20] AUTO SEND: Power:22"
14:25:20,"[14:25:20] AUTO SEND: Power:21"
14:25:20,"[14:25:20] AUTO SEND: Power:19"
14:25:20,"[14:25:20] AUTO SEND: Power:18"
14:25:20,"[14:25:20] AUTO SEND: Power:17"
14:25:20,"[14:25:20] AUTO SEND: Power:16"
14:25:20,"[14:25:20] AUTO SEND: Power:15"
14:25:20,"[14:25:20] AUTO SEND: Power:14"
14:25:20,"[14:25:20] AUTO SEND: Power:13"
14:25:20,"[14:25:20] AUTO SEND: Power:12"
14:25:20,"[14:25:20] AUTO SEND: Power:11"
14:25:20,"[14:25:20] AUTO SEND: Power:10"
14:25:20,"[14:25:20] AUTO SEND: Power:8"
14:25:20,"[14:25:20] AUTO SEND: Power:7"
14:25:20,"[14:25:20] AUTO SEND: Power:6"
14:25:20,"[14:25:20] AUTO SEND: Power:5"
14:25:20,"[14:25:20] AUTO SEND: Power:4"
14:25:20,"[14:25:20] AUTO SEND: Power:3"
14:25:20,"[14:25:20] AUTO SEND: Power:2"
14:25:20,"[14:25:20] AUTO SEND: Power:3"
14:25:20,"[14:25:20] AUTO SEND: Power:4"
14:25:21,"[14:25:21] AUTO SEND: Power:5"
14:25:21,"[14:25:21] AUTO SEND: Power:6"
14:25:21,"[14:25:21] AUTO SEND: Power:7"
14:25:21,"[14:25:21] AUTO SEND: Power:8"
14:25:21,"[14:25:21] AUTO SEND: Power:9"
14:25:21,"[14:25:21] AUTO SEND: Power:10"
14:25:21,"[14:25:21] AUTO SEND: Power:11"
14:25:21,"[14:25:21] AUTO SEND: Power:12"
14:25:21,"[14:25:21] AUTO SEND: Power:13"
14:25:21,"[14:25:21] AUTO SEND: Power:14"
14:25:21,"[14:25:21] AUTO SEND: Power:15"
14:25:21,"[14:25:21] AUTO SEND: Power:16"
14:25:21,"[14:25:21] AUTO SEND: Power:17"
14:25:21,"[14:25:21] AUTO SEND: Power:18"
14:25:21,"[14:25:21] AUTO SEND: Power:19"
14:25:21,"[14:25:21] AUTO SEND: Power:20"
14:25:21,"[14:25:21] AUTO SEND: Power:21"
14:25:21,"[14:25:21] AUTO SEND: Power:22"
14:25:21,"[14:25:21] AUTO SEND: Power:23"
14:25:21,"[14:25:21] AUTO SEND: Power:24"
14:25:21,"[14:25:21] AUTO SEND: Power:25"
14:25:21,"[14:25:21] AUTO SEND: Power:24"
14:25:21,"[14:25:21] AUTO SEND: Power:22"
14:25:21,"[14:25:21] AUTO SEND: Power:20"
14:25:21,"[14:25:21] AUTO SEND: Power:17"
14:25:21,"[14:25:21] AUTO SEND: Power:14"
14:25:21,"[14:25:21] AUTO SEND: Power:12"
14:25:21,"[14:25:21] AUTO SEND: Power:9"
14:25:21,"[14:25:21] AUTO SEND: Power:7"
14:25:21,"[14:25:21] AUTO SEND: Power:5"
14:25:21,"[14:25:21] AUTO SEND: Power:4"
14:25:21,"[14:25:21] AUTO SEND: Power:2"
14:25:21,"[14:25:21] AUTO SEND: Power:1"
14:25:21,"[14:25:21] AUTO SEND: Power:0"
14:25:22,"[14:25:22] AUTO SEND: Power:1"
14:25:22,"[14:25:22] AUTO SEND: Power:2"
14:25:22,"[14:25:22] AUTO SEND: Power:3"
14:25:22,"[14:25:22] AUTO SEND: Power:4"
14:25:22,"[14:25:22] AUTO SEND: Power:5"
14:25:22,"[14:25:22] AUTO SEND: Power:6"
14:25:22,"[14:25:22] AUTO SEND: Power:7"
14:25:22,"[14:25:22] AUTO SEND: Power:8"
14:25:22,"[14:25:22] AUTO SEND: Power:9"
14:25:22,"[14:25:22] AUTO SEND: Power:10"
14:25:22,"[14:25:22] AUTO SEND: Power:11"
14:25:22,"[14:25:22] AUTO SEND: Power:12"
14:25:22,"[14:25:22] AUTO SEND: Power:13"
14:25:22,"[14:25:22] AUTO SEND: Power:14"
14:25:22,"[14:25:22] AUTO SEND: Power:15"
14:25:22,"[14:25:22] AUTO SEND: Power:16"
14:25:22,"[14:25:22] AUTO SEND: Power:17"
14:25:23,"[14:25:23] AUTO SEND: Power:18"
14:25:23,"[14:25:23] AUTO SEND: Power:19"
14:25:23,"[14:25:23] AUTO SEND: Power:20"
14:25:23,"[14:25:23] AUTO SEND: Power:19"
14:25:23,"[14:25:23] AUTO SEND: Power:18"
14:25:23,"[14:25:23] AUTO SEND: Power:17"
14:25:23,"[14:25:23] AUTO SEND: Power:15"
