Timestamp,Thrust,PWM
0.029,25,45
0.114,25,45
0.213,24.85,45
0.313,24.95,45
0.41,25,45
0.511,24.95,45
0.61,24.95,45
0.708,25.1,45
0.808,25.15,45
0.905,25.1,45
1.006,25,45
1.106,24.95,45
1.205,25,45
1.303,25.05,45
1.401,25.05,45
1.501,25.1,45
1.602,25.05,45
1.7,25,45
1.799,25.05,45
1.899,25.05,45
1.998,25.15,45
2.098,25.15,45
2.197,25.15,45
2.295,25.2,45
2.396,25.2,45
2.494,25.1,45
2.594,25,45
2.693,25.1,45
2.792,25.1,45
2.892,25.1,45
2.991,25,45
3.09,25,45
3.189,25.05,45
3.289,25.05,45
3.387,25.1,45
3.487,25.1,45
3.586,25.2,45
3.685,25.1,45
3.785,25.05,45
3.884,25.05,45
3.984,25.1,45
4.083,25.15,45
4.181,25.1,45
4.281,25.15,45
4.38,25.1,45
4.479,25.1,45
4.578,25.05,45
4.678,25,45
4.777,25,45
4.877,25.1,45
4.975,25.1,45
5.074,25.15,45
5.174,25.25,45
5.273,25.2,45
5.372,25.15,45
5.471,25,45
5.57,25.1,45
5.67,25.15,45
5.769,25.1,45
5.868,24.95,45
5.967,25,45
6.066,25.1,45
6.166,25,45
6.265,25.1,45
6.364,25.05,45
6.463,24.95,45
6.563,25.05,45
6.662,25.15,45
6.761,25.25,45
6.86,25.1,45
6.959,25.05,45
7.059,25,45
7.158,25.05,45
7.257,25.05,45
7.356,24.95,45
7.456,25.05,45
7.555,25.2,45
7.654,25.15,45
7.753,25.05,45
7.852,25.15,45
7.952,25,45
8.051,24.95,45
8.15,25.1,45
8.251,25.05,45
8.348,25.1,45
8.449,25.05,45
8.548,25.15,45
8.646,25.1,45
8.746,25.05,45
8.845,25.1,45
8.945,25.2,45
9.043,25.1,45
9.143,25.1,45
9.242,25.05,45
9.341,24.95,45
9.44,25,45
9.54,25.2,45
9.639,25.15,45
9.738,25.1,45
9.837,25.15,45
9.936,25.2,45
10.036,25,45
10.135,25.05,45
10.233,25.1,45
10.333,25.1,45
10.432,25.1,45
10.532,25.1,45
10.631,25.1,45
10.73,25.15,45
10.829,25.15,45
10.928,25.2,45
11.028,25.05,45
11.127,25.05,45
11.227,25.1,45
11.326,25.05,45
11.425,25,45
11.524,25,45
11.623,25.05,45
11.723,25.05,45
11.822,25.1,45
11.92,25.1,45
12.02,25.2,45
12.119,25.1,45
12.219,25.05,45
12.318,25.15,45
12.417,25.15,45
12.516,25.1,45
12.615,25.05,45
12.715,25.05,45
12.814,25.1,45
12.913,25.15,45
13.012,25.15,45
13.113,25.15,45
13.211,25.2,45
13.31,25.25,45
13.41,25.2,45
13.508,25.15,45
13.608,25.1,45
13.707,25.05,45
13.806,25.05,45
13.905,25.2,45
14.005,25.1,45
14.104,24.95,45
14.204,25.05,45
14.302,25.1,45
