Timestamp,Thrust,PWM
32.708,11.7,17
32.807,9.5,15
32.907,7.5,14
33.007,5.65,14
33.105,4.55,13
33.205,4.6,12
33.304,4.25,11
33.404,2.95,9
33.502,2.1,9
33.601,1.2,8
33.7,0.3,8
33.801,0.4,8
33.9,0.75,8
33.999,0.95,8
34.097,0.95,8
34.196,0.9,8
34.297,1.1,8
34.396,1.05,8
34.495,0.7,8
34.593,1.5,8
34.692,1.9,8
34.793,1.95,8
34.891,1.85,8
34.989,1.95,8
35.089,1.8,8
35.189,1.55,8
0,0,0
0.086,0,0
0.186,0,0
0.285,0,0
0.384,0,0
0.483,0,0
0.582,0,0
0.681,0,0
0.781,0,0
0.88,0,0
0.979,0,0
1.078,0,0
1.178,0,0
1.278,0,0
1.376,0,0
1.475,0,0
1.574,0,0
1.673,0,0
1.773,0,0
1.872,0,0
1.971,0,0
2.07,0,0
2.169,0.25,0
2.269,0,0
2.368,0,0
2.467,0,0
2.566,0,0
2.665,0,0
2.765,0,0
2.864,0,0
2.963,0,0
3.062,0,0
3.161,0,0
3.261,0,0
3.36,0,0
3.459,0,0
3.558,0,0
3.657,0,0
3.757,0,0
3.855,0,0
3.954,0,0
4.054,0,0
4.153,0,0
4.252,0,0
4.351,0,0
4.45,0,0
4.55,0,0
4.649,0,0
4.749,0,0
4.848,0,0
4.947,0,0
5.046,0,0
5.144,0,0
5.244,0,0
5.344,0,0
5.443,0,0
5.542,0,0
5.641,0,0
5.74,0,0
5.84,0,0
5.939,0,0
6.038,0,0
6.137,0,0
6.236,0,0
6.336,0,0
6.435,0,0
6.534,0,0
6.633,0,0
6.733,0,0
6.831,0,0
6.931,0,0
7.029,0,0
7.129,0,0
7.229,0,0
7.328,0,0
7.427,0,0
7.526,0,0
7.625,0,0
7.725,0,0
7.824,0,0
7.923,0,0
8.022,0,0
8.121,0,0
8.22,0,0
8.319,0,0
8.419,0,0
8.518,0,0
8.617,0,0
8.716,0,0
8.815,0,0
8.914,0,0
9.014,0,0
9.113,0,0
9.212,0,0
9.311,0,0
9.41,0,0
9.51,0,0
9.608,0,0
9.708,0,0
9.808,0,0
9.907,0,0
10.006,0,0
10.105,0,0
10.205,0,0
10.303,0,0
10.403,0,0
10.502,0,0
10.6,0,0
10.7,0,0
10.799,0,0
10.898,0,0
10.997,0,0
11.097,0,0
11.197,0,0
11.295,0,0
11.395,0,0
11.493,0,0
11.593,0,0
11.693,0,0
11.792,0,0
11.891,0,0
11.99,0,0
12.089,0,0
12.188,0,0
12.288,0,0
12.386,0,0
12.485,0,0
12.584,0,0
12.685,0,0
12.784,0,0
12.883,0,0
12.982,0,0
13.081,0,0
13.181,0,0
13.28,0,0
13.379,0,0
13.478,0,0
13.577,0,0
13.677,0,0
13.776,0,0
13.875,0,0
13.974,0,0
14.072,0,0
14.172,0,0
14.272,0,0
14.371,0,0
14.47,0,0
14.569,0,0
14.669,0,0
14.768,0,0
14.867,0,0
14.965,0,0
15.065,0,0
15.164,0,0
15.263,0,0
15.363,0,0
15.462,0,0
15.561,0,0
15.66,0,0
15.76,0,0
15.858,0,0
15.958,0,0
16.057,0,0
16.156,0,0
16.256,0,0
16.355,0,0
16.453,0,0
16.553,0,0
16.653,0,0
16.751,0,0
16.85,0,0
16.949,0,0
17.049,0,0
17.148,0,0
17.248,0,0
17.347,0,0
17.446,0,0
17.545,0,0
17.644,0,0
17.743,0,0
17.842,0,0
17.941,0,0
18.041,0,0
18.14,0,0
18.239,0,0
18.337,0,0
18.437,0,0
18.537,0,0
18.636,0,0
18.735,0,0
18.834,0,0
18.933,0,0
19.033,0,0
19.132,0,0
19.232,0,0
19.33,0,0
19.429,0,0
19.529,0,0
19.625,0,0
19.725,0,0
19.824,0,0
19.925,0,0
20.022,0,0
20.135,0,0
20.222,0,0
20.32,0,0
20.421,0,0
20.518,0,0
20.62,0,0
20.719,0,0
20.818,0,0
20.915,0,0
21.016,0,0
21.116,0,0
21.213,0,0
21.315,0,0
21.413,0,0
21.512,0,0
21.61,0,0
21.711,0,0
21.813,0,0
21.909,0,0
22.008,0,0
0,0,0
0.092,0,0
0.191,0,0
0.29,0,0
0.389,0,0
0.489,0,0
0.588,0,0
0.687,0,0
0.787,0,0
0.886,0,0
0.985,0,0
1.084,0,0
1.183,0,0
1.282,0,0
1.382,0,0
1.481,0,0
1.58,0,0
1.679,0,0
1.778,0,0
1.878,0,0
1.977,0,0
2.077,0,0
2.175,0,0
2.275,0,0
2.374,0,0
2.473,0,0
2.572,0,0
2.671,0,0
2.771,0,0
2.87,0,0
2.969,0,0
3.069,0,0
3.167,0,0
3.266,0,0
3.365,0,0
3.465,0,0
3.565,0,0
3.663,0,0
3.762,0,0
3.862,0,0
3.961,0,0
4.06,0,0
4.159,0,0
4.258,0,0
4.358,0,0
4.457,0,0
4.557,0,0
4.656,0,0
4.754,0,0
4.854,0,0
4.953,0,0
5.052,0,0
5.151,0,0
5.25,0,0
5.349,0,0
5.449,0,0
5.549,0,0
5.647,0,0
5.746,0,0
5.846,0,0
5.946,0,0
6.044,0,0
6.143,0,0
6.242,0,0
6.342,0,0
6.441,0,0
6.54,0,0
6.639,0,0
6.738,0,0
6.838,0,0
6.936,0,0
7.036,0,0
7.135,0,0
7.234,0,0
7.333,0,0
7.433,0,0
7.532,0,0
7.631,0,0
7.73,0,0
7.829,0,0
7.928,0,0
8.028,0,0
8.127,0,0
8.227,0,0
8.325,0,0
8.424,0,0
8.524,0,0
8.623,0,0
8.722,0,0
8.821,0,0
8.921,0,0
9.02,0,0
9.12,0,0
9.218,0,0
9.317,0,0
9.416,0,0
9.516,0,0
9.615,0,0
9.714,0,0
9.813,0,0
9.912,0,0
10.011,0,0
10.111,0,0
10.21,0,0
10.31,0,0
10.409,0,0
10.508,0,0
10.607,0,0
10.706,0,0
10.805,0,0
10.904,0,0
11.003,0,0
11.103,0,0
11.203,0,0
11.301,0,0
11.4,0,0
11.499,0,0
11.599,0,0
11.699,0,0
11.797,0,0
11.896,0,0
11.995,0,0
12.095,0,0
12.194,0,0
12.293,0,0
12.392,0,0
12.491,0,0
12.591,0,0
12.69,0,0
12.789,0,0
12.888,0,0
12.987,0,0
13.087,0,0
13.186,0,0
13.285,0,0
13.384,0,0
13.483,0,0
13.583,0,0
13.682,0,0
13.782,0,0
13.88,0,0
13.979,0,0
14.079,0,0
14.178,0,0
14.277,0,0
14.376,0,0
14.475,0,0
14.575,0,0
14.674,0,0
14.773,0,0
14.872,0,0
14.971,0,0
15.071,0,0
15.17,0,0
15.269,0,0
15.368,0,0
15.468,0,0
15.567,0,0
15.666,0,0
15.765,0,0
15.864,0,0
15.963,0,0
16.063,0,0
16.162,0,0
16.261,0,0
16.36,0,0
16.46,0,0
16.559,0,0
16.658,0,0
16.758,0,0
16.856,0,0
16.956,0,0
17.055,0,0
17.154,0,0
17.253,0,0
17.352,0,0
17.452,0,0
17.551,0,0
17.65,0,0
17.749,0,0
17.848,0,0
17.948,0,0
18.047,0,0
18.146,0,0
